epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.284,1.0452,3.19212,1.37128,0.45798,0.21495,0.29047,0.19179,1.14063,3.46719,1.52234,0.000251673,0.000251673,0.000251673
2,327.97,1.14859,2.39953,1.45054,0.2991,0.35157,0.30811,0.19392,1.32153,3.06491,1.63898,0.000502977,0.000502977,0.000502977
3,528.237,1.1635,2.2351,1.46392,0.3019,0.45916,0.35558,0.21597,1.43076,3.37294,1.81594,0.000749205,0.000749205,0.000749205
4,1058.71,1.16315,2.12452,1.4311,0.38194,0.35978,0.32912,0.19305,1.32865,3.59452,1.74752,0.000746161,0.000746161,0.000746161
5,1275.96,1.14486,1.99646,1.40801,0.43264,0.40083,0.36731,0.24113,1.37788,2.72247,1.7284,0.000738548,0.000738548,0.000738548
6,6454.28,1.13071,1.87047,1.39637,0.42022,0.44732,0.42155,0.2635,1.39087,2.56422,1.74807,0.000730935,0.000730935,0.000730935
7,6651.47,1.0964,1.79768,1.39045,0.50416,0.42918,0.41837,0.28472,1.33332,2.6036,1.6745,0.000723321,0.000723321,0.000723321
8,6852.81,1.09089,1.75497,1.37176,0.49801,0.44482,0.43652,0.26032,1.39221,2.40359,1.69994,0.000715708,0.000715708,0.000715708
9,8508.01,1.07897,1.6431,1.35367,0.43702,0.42592,0.38489,0.24702,1.30363,2.5522,1.65526,0.000708095,0.000708095,0.000708095
